web-scraper-order,web-scraper-start-url,Title and Link,Title and Link-href,Price,Strike price,Rating,Badge,Page no,Discount,Ratings count,ASIN,Brand,Model or series,Sold by,Country of Origin,Manufacturer,Store name and link,Store name and link-href,Availability,ASIN2,Item weight
"1694094836-1","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","SAMSUNG T7 Shield 4TB, Portable SSD, up-to 1050MB/s, USB 3.2 Gen2, Rugged, IP65 Water & Dust Resistant, for Photographers, Content Creators and Gaming, Extenal Solid State Drive (MU-PE4T0S/AM), Black","https://www.amazon.com/SAMSUNG-Resistant-Photographers-MU-PE4T0S-AM/dp/B0BHZQGN26/ref=sr_1_86?qid=1694094822&s=electronics&sr=1-86","$239.99","$252.99","4.8 out of 5 stars","","4","-5%","7,590 ratings","‎B0BHZQGN26","SAMSUNG","‎T7 Shield 4TB","Amazon.com","‎Moldova, Republic of","‎SAMSUNG","Visit the SAMSUNG Store","https://www.amazon.com/stores/Samsung%C2%AE/page/F50AFABA-4CDE-4A95-84D0-CA4C61819FEB?ref_=ast_bln","In Stock","B0BHZQGN26","‎3.42 ounces"
"1694094845-2","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Nintendo Switch – OLED Model w/ White Joy-Con","https://www.amazon.com/Nintendo-Switch-OLED-Model-White-Joy/dp/B098RKWHHZ/ref=sr_1_85?qid=1694094822&s=electronics&sr=1-85","$349.00","$349.00","4.8 out of 5 stars","","4","-8%","32,054 ratings","B098RKWHHZ","","HEG-S-KAAAA","KART IT","","Nintendo","Visit the Nintendo Store","https://www.amazon.com/stores/Nintendo/page/BE0EB5D0-0AD6-4564-8BC5-4A129A3A9CFD?ref_=ast_bln","Only 2 left in stock - order soon","B098RKWHHZ","3.09 pounds"
"1694094853-3","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HP 64XL Tri-color High-yield Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J91AN","https://www.amazon.com/HP-Tri-Color-Original-Cartridge-N9J91AN/dp/B0722C491T/ref=sr_1_84?qid=1694094822&s=electronics&sr=1-84","$49.89","","4.7 out of 5 stars","","4","","16,536 ratings","B0722C491T","HP","HP 64XL | Ink Cartridge | Tri-Color | N9J91AN","Total Office Solutions","","HP","Visit the HP Store","https://www.amazon.com/stores/HP/page/5BA42671-3E42-4AEB-B9E4-272F10DD0121?ref_=ast_bln","In Stock","B0722C491T","1.6 ounces"
"1694094860-4","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","TOZO T6 True Wireless Earbuds Bluetooth 5.3 Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass Black","https://www.amazon.com/TOZO-T6-Bluetooth-Headphones-Waterproof/dp/B07RGZ5NKS/ref=sr_1_83?qid=1694094822&s=electronics&sr=1-83","$20.99","$39.99","4.4 out of 5 stars","","4","-48%","253,368 ratings","B07RGZ5NKS","TOZO","TOZO T6","Worgo","China","TOZO","Visit the TOZO Store","https://www.amazon.com/stores/TOZO/page/71763562-B03C-49A4-986C-306EC684FD90?ref_=ast_bln","In Stock","B07RGZ5NKS","0.176 ounces"
"1694094867-5","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Amazon Basics Micro SDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black","https://www.amazon.com/Amazon-Basics-microSDXC-Memory-Adapter/dp/B08TJRVWV1/ref=sr_1_82?qid=1694094822&s=electronics&sr=1-82","$12.42","$17.10","4.7 out of 5 stars","","4","-27%","48,961 ratings","‎B08TJRVWV1","Amazon Basics","‎LSMICRO128GU3","Amazon.com","‎Taiwan","‎Amazon","Visit the Amazon Basics Store","https://www.amazon.com/stores/AmazonBasics/page/947C6949-CF8E-4BD3-914A-B411DD3E4433?ref_=ast_bln","In Stock","B08TJRVWV1","‎0.01 ounces"
"1694094873-6","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","RORSOU R10 Kids Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M No-Tangle Cord, Portable Wired Headphones for Smartphone Tablet Computer MP3 / 4 (Black)","https://www.amazon.com/RORSOU-R10-Headphones-Microphone-Lightweight/dp/B094NC89P9/ref=sr_1_81?qid=1694094822&s=electronics&sr=1-81","$16.99","$24.99","4.5 out of 5 stars","Best Seller","4","-32%","7,795 ratings","B094NC89P9","RORSOU","R10","RORSOU","","RORSOU","Visit the RORSOU Store","https://www.amazon.com/stores/RORSOU/page/E06C31C4-115A-4656-8897-9670330D038B?ref_=ast_bln","In Stock","B094NC89P9","7.6 ounces"
"1694094879-7","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Texas Instruments TI-Nspire CX II CAS Color Graphing Calculator with Student Software (PC/Mac) 320 x 240 pixels (3.2"" diagonal)","https://www.amazon.com/Texas-Instruments-TI-Nspire-Graphing-Calculator/dp/B07RL7HM5V/ref=sr_1_80?qid=1694094822&s=electronics&sr=1-80","$148.29","$175.00","4.8 out of 5 stars","","4","-15%","7,360 ratings","B07RL7HM5V","Brand: Texas Instruments","NSCXCAS2/TBL/2L1/A","Amazon.com","Philippines","Texas Instruments","","","In Stock","","12.6 ounces"
"1694094885-8","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HP 65 Black Ink Cartridge | Works with HP AMP 100 Series, HP DeskJet 2600, 3700 Series, HP ENVY 5000 Series | Eligible for Instant Ink | N9K02AN","https://www.amazon.com/HP-Original-Cartridge-N9K02AN-DeskJet/dp/B01BYKUI9C/ref=sr_1_79?qid=1694094822&s=electronics&sr=1-79","$16.89","","4.7 out of 5 stars","","4","","87,603 ratings","B01BYKUI9C","","N9K02AN","Total Office Solutions","","HP","Visit the HP Store","https://www.amazon.com/stores/HP/page/5BA42671-3E42-4AEB-B9E4-272F10DD0121?ref_=ast_bln","In Stock","B01BYKUI9C","1.44 ounces"
"1694094891-9","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","NexiGo N60 1080P Webcam with Microphone, Adjustable FOV, Zoom, Software Control & Privacy Cover, USB HD Computer Web Camera, Plug and Play, for Zoom/Skype/Teams, Conferencing and Video Calling","https://www.amazon.com/Microphone-NexiGo-Computer-110-degree-Conferencing/dp/B088TSR6YJ/ref=sr_1_78?qid=1694094822&s=electronics&sr=1-78","$39.99","$49.99","4.4 out of 5 stars","","4","-20%","41,589 ratings","B088TSR6YJ","NexiGo","N60","NexiGo USA","‎USA","","Visit the NexiGo Store","https://www.amazon.com/stores/NexiGo/page/4DA8AC05-54D2-4795-A923-E3FA9CC54A3D?ref_=ast_bln","In Stock","B088TSR6YJ","‎5.6 ounces"
"1694094897-10","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Emart Backdrop Stand 10x7ft(WxH) Photo Studio Adjustable Background Stand Support Kit with 2 Crossbars, 8 Backdrop Clamps, 2 Sandbags and Carrying Bag for Parties Wedding Events Decoration","https://www.amazon.com/Studio-Adjustable-Background-Backdrop-Support/dp/B00MTF6ZVC/ref=sr_1_77?qid=1694094822&s=electronics&sr=1-77","$39.49","$49.99","4.5 out of 5 stars","Best Seller","4","-21%","33,263 ratings","B00MTF6ZVC","EMART","EM-BS2030","EMARTUS","China","Emartinc","Visit the EMART Store","https://www.amazon.com/stores/EMART/page/D6803BFF-2A3A-4596-AC6B-C37381497BAE?ref_=ast_bln","In Stock","B00MTF6ZVC","6.7 pounds"
"1694094905-11","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s - USB-C, USB 3.2 Gen 2 - External Solid State Drive - SDSSDE61-2T00-G25","https://www.amazon.com/SanDisk-2TB-Extreme-Portable-SDSSDE61-2T00-G25/dp/B08HN37XC1/ref=sr_1_76?qid=1694094822&s=electronics&sr=1-76","$119.99","$149.99","4.6 out of 5 stars","","4","-20%","46,962 ratings","‎B08HN37XC1","SanDisk","‎Extreme Portable SSD","Amazon.com","‎China","‎Western Digital Technologies, Inc.","Visit the SanDisk Store","https://www.amazon.com/stores/SanDisk/page/CD971F4B-EE23-4EA1-96E3-567678AC9C0A?ref_=ast_bln","In Stock","B08HN37XC1","‎1.76 ounces"
"1694094911-12","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA)","https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=sr_1_75?qid=1694094822&s=electronics&sr=1-75","$159.99","","4.7 out of 5 stars","","4","","24,452 ratings","‎B08BF4CZSV","HP","","Jazzer Shack","","‎Hewlett Packard Office","Visit the HP Store","https://www.amazon.com/stores/HP/page/5BA42671-3E42-4AEB-B9E4-272F10DD0121?ref_=ast_bln","Only 19 left in stock - order soon","","‎9.94 pounds"
"1694094917-13","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Roku Ultra | The Ultimate Roku Streaming Device 4K/HDR/Dolby Vision/Atmos, Rechargeable Roku Voice Remote Pro, Ethernet Port, Hands-Free Controls, Lost Remote Finder, Free & Live TV","https://www.amazon.com/Roku-Streaming-Rechargeable-Hands-Free-Listening/dp/B09T4VZDYV/ref=sr_1_74?qid=1694094822&s=electronics&sr=1-74","$99.00","","4.6 out of 5 stars","","4","","6,857 ratings","B09T4VZDYV","Brand: Roku","Roku Ultra 2022","Amazon.com","China","Roku","Visit the Store","https://www.amazon.com/stores/page/2F63115C-2E7B-4FC8-8FEF-07AF3AEEE8DE?store_ref=storeRecs_dp_aplus","In Stock","B09T4VZDYV","5.9 ounces"
"1694094924-14","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Texas Instruments TI-30Xa Scientific Calculator","https://www.amazon.com/Texas-Instruments-TI-30Xa-Scientific-Calculator/dp/B00000JBNS/ref=sr_1_73?qid=1694094822&s=electronics&sr=1-73","$10.82","$24.99","4.7 out of 5 stars","","4","-57%","14,703 ratings","B00000JBNS","Brand: Texas Instruments","30XA/TBL/1L1/K","Amazon.com","Philippines","Texas Instruments","","","In Stock","B00000JBNS","3.7 ounces"
"1694094931-15","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HAPPRUN Projector, Native 1080P Bluetooth Projector with 100''Screen, 9500L Portable Outdoor Movie Projector Compatible with Smartphone, HDMI,USB,AV,Fire Stick, PS5","https://www.amazon.com/Projector-Bluetooth-100Screen-Compatible-Smartphone/dp/B0B28G5Y4R/ref=sr_1_82?qid=1694094822&s=electronics&sr=1-82","$59.99","$67.99","4.4 out of 5 stars","Best Seller","4","-12%","2,607 ratings","B0B28G5Y4R","HAPPRUN","","HAPPRUN Direct","‎China","","Visit the HAPPRUN Store","https://www.amazon.com/stores/HAPPRUN/page/0C357483-A7C6-4D03-9B65-D135AFC7D8D9?ref_=ast_bln","In Stock","B0B28G5Y4R","‎4.5 pounds"
"1694094938-16","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Brother Genuine Standard Yield Toner Cartridge, TN730, Replacement Black Toner, Page Yield Up To 1,200 Pages, Amazon Dash Replenishment Cartridge","https://www.amazon.com/Brother-TN730-DCP-L2550DW-MFC-L2710DW-MFC-L2750DW/dp/B075X7TFY5/ref=sr_1_81?qid=1694094822&s=electronics&sr=1-81","$45.48","","4.7 out of 5 stars","Best Seller","4","","12,692 ratings","B075X7TFY5","Brother","‎TN730","Amazon.com","","‎Brother Consumables","Visit the Brother Store","https://www.amazon.com/stores/Brother/page/A79BEE12-B7FD-455B-A657-DBE58AF83B36?ref_=ast_bln","In Stock","","‎1.3 pounds"
"1694094944-17","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)","https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_80?qid=1694094822&s=electronics&sr=1-80","$70.99","","4.7 out of 5 stars","","4","","214,384 ratings","B07CRG94G3","","","Amazon.com","Thailand","Seagate","Visit the Seagate Store","https://www.amazon.com/stores/Seagate/page/5A2F1A72-27EC-408C-A192-9C70C8D1BF89?ref_=ast_bln","In Stock","B07CRG94G3",""
"1694094951-18","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","KYY Portable Monitor 15.6inch 1080P FHD USB-C Laptop Monitor HDMI Computer Display HDR IPS Gaming Monitor w/Premium Smart Cover & Screen Protector, Speakers, for Laptop PC MAC Phone PS4 Xbox Switch","https://www.amazon.com/Portable-Monitor-15-6inch-Computer-Protector/dp/B088D8JG3L/ref=sr_1_79?qid=1694094822&s=electronics&sr=1-79","$129.99","$219.99","4.5 out of 5 stars","","4","-41%","5,292 ratings","B088D8JG3L","KYY","K3","KYY Tech.","","KYY","Visit the KYY Store","https://www.amazon.com/stores/KYYTechBringYourLifeMoreConvenientandBrilliant/page/A506FE37-0E97-429E-9EA4-51443CA62A73?ref_=ast_bln","In Stock","","1.7 pounds"
"1694094957-19","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Brother Genuine Cartridge TN760 High Yield Black Toner","https://www.amazon.com/Brother-Genuine-Cartridge-TN760-Yield/dp/B075X6C5ZW/ref=sr_1_78?qid=1694094822&s=electronics&sr=1-78","$74.05","$80.49","4.7 out of 5 stars","","4","-8%","14,979 ratings","B075X6C5ZW","Brother","‎TN760","ink-shop","","‎Brother Consumables","Visit the Brother Store","https://www.amazon.com/stores/Brother/page/A79BEE12-B7FD-455B-A657-DBE58AF83B36?ref_=ast_bln","In Stock","B075X6C5ZW","‎1.4 pounds"
"1694094963-20","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","MATEIN Travel Laptop Backpack, Business Anti Theft Slim Durable Laptop Backpack with USB Charging Port, Water Resistant College Bag Computer Bag Gifts for Men & Women Fits 15.6 Inch Notebook, Grey","https://www.amazon.com/Backpack-Business-Charging-Resistant-Computer/dp/B06XZTZ7GB/ref=sr_1_77?qid=1694094822&s=electronics&sr=1-77","$29.99","$39.96","4.7 out of 5 stars","Best Seller","4","-25%","87,876 ratings","B06XZTZ7GB","","LSG1004GRYB1","YoTwo","China","YoTwo","Visit the MATEIN Store","https://www.amazon.com/stores/MATEIN/page/99077053-E51C-4F69-A9B5-397D1C7495ED?ref_=ast_bln","In Stock","B06XZTZ7GB","1.56 pounds"
"1694094969-21","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Neenah Index Cardstock, 8.5"" x 11"", 90 lb/163 gsm, White, Lightweight, 94 Brightness, 300 Sheets (91437)","https://www.amazon.com/Neenah-Cardstock-Heavy-Weight-Brightness-91437/dp/B07D4YF3K4/ref=sr_1_76?qid=1694094822&s=electronics&sr=1-76","$12.69","","4.7 out of 5 stars","","4","","11,978 ratings","B07D4YF3K4","Brand: Neenah","‎91437","Amazon.com","","‎Neenah Paper (OP)","","","In Stock","B07D4YF3K4","‎6 pounds"
"1694094975-22","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Ailun Glass Screen Protector for iPhone 12/12 Pro 2020 6.1 Inch 3 Pack Case Friendly Tempered Glass","https://www.amazon.com/Ailun-Protector-Compatible-Friendly-Tempered/dp/B08DGNGDFR/ref=sr_1_75?qid=1694094822&s=electronics&sr=1-75","$7.89","","4.6 out of 5 stars","","4","","78,057 ratings","B08DGNGDFR","Ailun","Ailun*GlassSP*iPhone6.1*2020*3Pack","Ailun Authorized","","Siania","Visit the Ailun Store","https://www.amazon.com/stores/Ailun/page/52AA3AC5-42CD-4237-BE3F-75EE5051346D?ref_=ast_bln","In Stock","","2.12 ounces"
"1694094981-23","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","AuKing Projector, 2023 Upgraded Mini Projector, Full HD 1080P Home Theater Video Projector, Compatible with HDMI/USB/VGA/AV/Smartphone/TV Box/Laptop","https://www.amazon.com/Projector-Video-Projector-Multimedia-Compatible-Smartphone/dp/B07MTCMHZX/ref=sr_1_74?qid=1694094822&s=electronics&sr=1-74","$89.99","$99.99","4.3 out of 5 stars","","4","-10%","26,858 ratings","B07MTCMHZX","AuKing","M8-F","AuKing Direct","China","AuKing","Visit the AuKing Store","https://www.amazon.com/stores/AuKingProjector/page/75BBAEE7-A4CD-43F7-977F-D207887B1C89?ref_=ast_bln","In Stock","","2.87 pounds"
"1694094987-24","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black BMANI-VEAT00L","https://www.amazon.com/Wireless-Bluetooth-Headphones-Earphones-BMANI-VEAT00L/dp/B09FLNSYDZ/ref=sr_1_73?qid=1694094822&s=electronics&sr=1-73","$39.99","$58.99","4.5 out of 5 stars","Best Seller","4","-32%","34,966 ratings","B09FLNSYDZ","bmani","T16","BMANI US Store","China","BMANI","Visit the bmani Store","https://www.amazon.com/stores/BMANIWirelessEarbuds/page/EFFBCA4E-1357-4825-91AB-E2C1FDDAE0DB?ref_=ast_bln","In Stock","B09FLNSYDZ","2.82 ounces"
"1694094993-25","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Amazon Basics 12-Pack D Cell Alkaline All-Purpose Batteries, 1.5 Volt, 5-Year Shelf Life","https://www.amazon.com/Amazon-Basics-All-Purpose-Alkaline-Batteries/dp/B00MH4QKP6/ref=sr_1_62?qid=1694094816&s=electronics&sr=1-62","$18.03","","4.7 out of 5 stars","Best Seller","3","","129,431 ratings","B00MH4QKP6","Amazon Basics","","Amazon.com","China","Amazon","Visit the Amazon Basics Store","https://www.amazon.com/stores/AmazonBasics/page/947C6949-CF8E-4BD3-914A-B411DD3E4433?ref_=ast_bln","In Stock","B00MH4QKP6",""
"1694095000-26","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","USB Wall Charger, LUOATIP 3-Pack 2.1A/5V Dual Port USB Cube Power Adapter Charger Plug Block Charging Box Brick for iPhone 13 12 11 Pro Max SE XS XR X 8 7 6 6S Plus, Samsung, LG, Moto, Android Phones","https://www.amazon.com/Charger-LUOATIP-Adapter-Charging-Replacement/dp/B07TK6MPNB/ref=sr_1_61?qid=1694094816&s=electronics&sr=1-61","$8.99","$18.99","4.7 out of 5 stars","Best Seller","3","-53%","62,292 ratings","B07TK6MPNB","Brand: LUOATIP","HC45","LUOATIP","China","Shenzhen Huafengda Plastic Products Co., Ltd.","","","In Stock","B07TK6MPNB","1.16 ounces"
"1694095007-27","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","iPhone Charger fast charging [APPLE MFi Certified] 2 pack Apple Type C Wall Charger Block with 2 pack [6FT&10FT] Long USB C to lightning cable for iPhone 14/13/12/12 Pro Max/11/Xs Max/XR/X,AirPods Pro","https://www.amazon.com/iPhone-Charger-Certified-Lightning-Charging/dp/B0B283QP2N/ref=sr_1_60?qid=1694094816&s=electronics&sr=1-60","$16.99","$20.99","4.4 out of 5 stars","","3","-19%","7,275 ratings","B0B283QP2N","Brand: FEEL2NICE","ZYH-J15","FEEL2NICE Technology Limited","","FEEL2NICE","","","In Stock","B0B283QP2N","5.9 ounces"
"1694095013-28","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Energizer Alkaline Power D Batteries (12 Pack), Long-Lasting Alkaline Size D Batteries","https://www.amazon.com/Energizer-Batteries-Long-Lasting-Alkaline-Power/dp/B09RTVHM2Q/ref=sr_1_59?qid=1694094816&s=electronics&sr=1-59","$16.78","$23.98","4.7 out of 5 stars","","3","-30%","4,873 ratings","B09RTVHM2Q","Energizer","AP95DP-12","Amazon.com","USA","Energizer","Visit the Energizer Store","https://www.amazon.com/stores/Energizer/page/6E914E3E-68DD-451F-A0C8-F8295C73A8D6?ref_=ast_bln","In Stock","","4.9 ounces"
"1694095020-29","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HP 65 Black/Tri-color Ink Cartridges (2-pack) | Works with HP AMP 100 Series, HP DeskJet 2600, 3700 Series, HP ENVY 5000 Series | Eligible for Instant Ink | T0A36AN","https://www.amazon.com/HP-Tri-color-Cartridges-N9K01AN-N9K02AN/dp/B01BYKV7I8/ref=sr_1_58?qid=1694094816&s=electronics&sr=1-58","$32.89","","4.7 out of 5 stars","","3","","34,883 ratings","B01BYKV7I8","HP","T0A36AN#140","Total Office Solutions","","‎HP","Visit the HP Store","https://www.amazon.com/stores/HP/page/5BA42671-3E42-4AEB-B9E4-272F10DD0121?ref_=ast_bln","In Stock","","‎3.2 ounces"
"1694095026-30","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HP 64 Black/Tri-color Ink Cartridges (2-pack) | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | X4D92AN","https://www.amazon.com/HP-Tri-Color-Original-Cartridges-N9J90AN/dp/B06ZY9LP74/ref=sr_1_57?qid=1694094816&s=electronics&sr=1-57","$41.89","","4.6 out of 5 stars","","3","","18,663 ratings","‎B06ZY9LP74","HP","X4D92AN#140","Supplies Line","‎Malaysia","‎HP","Visit the HP Store","https://www.amazon.com/stores/HP/page/5BA42671-3E42-4AEB-B9E4-272F10DD0121?ref_=ast_bln","Only 8 left in stock - order soon","B06ZY9LP74","‎2.4 ounces"
"1694095032-31","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Roku Voice Remote (Official) for Roku Players, Roku Audio, and Roku TV","https://www.amazon.com/Roku-Voice-Remote-Official-Players/dp/B0BQS9Y69G/ref=sr_1_56?qid=1694094816&s=electronics&sr=1-56","$19.88","","4.6 out of 5 stars","","3","","3,460 ratings","B0BQS9Y69G","Brand: Roku","Roku Voice Remote (Official) for Roku Players, Roku Audio, and Roku TV","Amazon.com","China","Roku","","","In Stock","B0BQS9Y69G","1.6 ounces"
